"species","genus","family"
"Acanthidops_bairdi","Acanthidops","Thraupidae"
"Agelaioides_badius","Agelaioides","Icteridae"
"Agelaius_assimilis","Agelaius","Icteridae"
"Agelaius_humeralis","Agelaius","Icteridae"
"Agelaius_phoeniceus","Agelaius","Icteridae"
"Agelaius_tricolor","Agelaius","Icteridae"
"Agelaius_xanthomus","Agelaius","Icteridae"
"Agelasticus_cyanopus","Agelasticus","Icteridae"
"Agelasticus_thilius","Agelasticus","Icteridae"
"Agelasticus_xanthophthalmus","Agelasticus","Icteridae"
"Aimophila_notosticta","Aimophila","Passerellidae"
"Aimophila_rufescens","Aimophila","Passerellidae"
"Aimophila_ruficeps","Aimophila","Passerellidae"
"Amblycercus_holosericeus","Amblycercus","Icteridae"
"Amblyramphus_holosericeus","Amblyramphus","Icteridae"
"Ammodramus_aurifrons","Ammodramus","Passerellidae"
"Ammodramus_humeralis","Ammodramus","Passerellidae"
"Ammodramus_savannarum","Ammodramus","Passerellidae"
"Ammospiza_caudacuta","Ammospiza","Passerellidae"
"Ammospiza_leconteii","Ammospiza","Passerellidae"
"Ammospiza_maritima","Ammospiza","Passerellidae"
"Ammospiza_nelsoni","Ammospiza","Passerellidae"
"Amphispiza_bilineata","Amphispiza","Passerellidae"
"Amphispiza_quinquestriata","Amphispiza","Passerellidae"
"Anisognathus_igniventris","Anisognathus","Thraupidae"
"Anisognathus_lacrymosus","Anisognathus","Thraupidae"
"Anisognathus_melanogenys","Anisognathus","Thraupidae"
"Anisognathus_notabilis","Anisognathus","Thraupidae"
"Anisognathus_somptuosus","Anisognathus","Thraupidae"
"Anumara_forbesi","Anumara","Icteridae"
"Arremon_abeillei","Arremon","Passerellidae"
"Arremon_assimilis","Arremon","Passerellidae"
"Arremon_atricapillus","Arremon","Passerellidae"
"Arremon_aurantiirostris","Arremon","Passerellidae"
"Arremon_basilicus","Arremon","Passerellidae"
"Arremon_brunneinucha","Arremon","Passerellidae"
