"node","ord_ndname","node_lvl","node.type","parent_br","edge.length","ancestor","daughter_nds","node_ht","time_bp","fossils","label","fam"
"1","1","3","tip","3","5.928156639","708","integer(0)","17.519890601","4.00000033096148e-09","FALSE","Rhynchophanes_mccownii","Calcariidae"
"2","2","4","tip","5","0.04248846964","709","integer(0)","17.51989060164","3.36000383072133e-09","FALSE","Plectrophenax_nivalis","Calcariidae"
"3","3","4","tip","6","0.04248846964","709","integer(0)","17.51989060164","3.36000383072133e-09","FALSE","Plectrophenax_hyperboreus","Calcariidae"
"4","4","3","tip","8","6.728168838","710","integer(0)","17.519890601","4.00000033096148e-09","FALSE","Calcarius_lapponicus","Calcariidae"
"5","5","4","tip","10","1.396421721","711","integer(0)","17.519890601","4.00000033096148e-09","FALSE","Calcarius_ornatus","Calcariidae"
"6","6","4","tip","11","1.396421721","711","integer(0)","17.519890601","4.00000033096148e-09","FALSE","Calcarius_pictus","Calcariidae"
"7","7","9","tip","20","6.670879165","719","integer(0)","17.519890602","3.00000024822111e-09","FALSE","Microligea_palustris","Phaenicophilidae"
"8","8","9","tip","21","6.670879165","719","integer(0)","17.519890602","3.00000024822111e-09","FALSE","Xenoligea_montana","Phaenicophilidae"
"9","9","8","tip","22","10.27766762","718","integer(0)","17.519890605","0","FALSE","Phaenicophilus_palmarum","Phaenicophilidae"
"10","10","8","tip","24","11.37903256","720","integer(0)","17.519890598","6.99999702646892e-09","FALSE","Spindalis_zena","Spindalidae"
"11","11","8","tip","25","11.37903256","720","integer(0)","17.519890598","6.99999702646892e-09","FALSE","Nesospingus_speculiferus","Nesospingidae"
"12","12","8","tip","28","11.89236073","722","integer(0)","17.5198905999","5.09999864561905e-09","FALSE","Zeledonia_coronata","Zeledoniidae"
"13","13","8","tip","29","11.89236073","722","integer(0)","17.5198905999","5.09999864561905e-09","FALSE","Teretistris_fernandinae","Teretistridae"
"14","14","20","tip","43","0.1926851798","735","integer(0)","17.5198906017","3.29999849668638e-09","FALSE","Icterus_melanopsis","Icteridae"
"15","15","20","tip","44","0.1926851798","735","integer(0)","17.5198906017","3.29999849668638e-09","FALSE","Icterus_northropi","Icteridae"
"16","16","22","tip","48","1.471436421","738","integer(0)","17.5198906023","2.69999844704216e-09","FALSE","Icterus_laudabilis","Icteridae"
"17","17","22","tip","49","1.471436421","738","integer(0)","17.5198906023","2.69999844704216e-09","FALSE","Icterus_dominicensis","Icteridae"
"18","18","22","tip","51","0.9433235288","739","integer(0)","17.5198906021","2.89999846359024e-09","FALSE","Icterus_cayanensis","Icteridae"
"19","19","22","tip","52","0.9433235288","739","integer(0)","17.5198906021","2.89999846359024e-09","FALSE","Icterus_auricapillus","Icteridae"
"20","20","21","tip","54","1.552040358","740","integer(0)","17.5198906016","3.40000028131726e-09","FALSE","Icterus_oberi","Icteridae"
"21","21","22","tip","56","1.493063689","741","integer(0)","17.51989060212","2.88000023829227e-09","FALSE","Icterus_bonana","Icteridae"
"22","22","22","tip","57","1.493063689","741","integer(0)","17.51989060212","2.88000023829227e-09","FALSE","Icterus_portoricensis","Icteridae"
"23","23","19","tip","59","2.241524353","742","integer(0)","17.5198906017","3.29999849668638e-09","FALSE","Icterus_prosthemelas","Icteridae"
"24","24","19","tip","60","2.241524353","742","integer(0)","17.5198906017","3.29999849668638e-09","FALSE","Icterus_spurius","Icteridae"
"25","25","17","tip","61","2.843430102","732","integer(0)","17.5198906016","3.40000028131726e-09","FALSE","Icterus_cucullatus","Icteridae"
"26","26","16","tip","62","3.670326096","731","integer(0)","17.519890602","3.00000024822111e-09","FALSE","Icterus_wagleri","Icteridae"
"27","27","15","tip","63","4.222068843","730","integer(0)","17.5198906022","2.80000023167304e-09","FALSE","Icterus_maculialatus","Icteridae"
"28","28","15","tip","65","3.531688601","743","integer(0)","17.5198906015","3.50000206594814e-09","FALSE","Icterus_mesomelas","Icteridae"
"29","29","17","tip","68","2.453715026","745","integer(0)","17.5198906017","3.30000204940006e-09","FALSE","Icterus_graceannae","Icteridae"
